web-scraper-order,web-scraper-start-url,Name,Stab Attack,Slash Attack,Crush Attack,Magic Attack,Ranged Attack,Stab Defence,Slash Defence,Crush Defence,Magic Defence,Ranged Defence,Stength,Ranged Stength,Magic Damage,Prayer,Wiki Link,Wiki Link-href
"1536190098-613","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Opal necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Opal necklace","http://oldschoolrunescape.wikia.com/wiki/Opal_necklace"
"1536190098-597","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Jade amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Jade amulet","http://oldschoolrunescape.wikia.com/wiki/Jade_amulet"
"1536190098-540","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of fury","+10","+10","+10","+10","+10","+15","+15","+15","+15","+15","+8","0","0","+5","Amulet of fury","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_fury"
"1536190098-636","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Topaz necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Topaz necklace","http://oldschoolrunescape.wikia.com/wiki/Topaz_necklace"
"1536190098-580","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Dragonstone amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dragonstone amulet","http://oldschoolrunescape.wikia.com/wiki/Dragonstone_amulet"
"1536190098-608","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Occult necklace","0","0","0","+12","0","0","0","0","0","0","0","0","+10","+2","Occult necklace","http://oldschoolrunescape.wikia.com/wiki/Occult_necklace"
"1536190098-633","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Strength amulet (t)","+0","+0","+0","+0","+0","+0","+0","+0","+0","+0","+10","0","0","+0","Strength amulet (t)","http://oldschoolrunescape.wikia.com/wiki/Strength_amulet_(t)"
"1536190098-628","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Seal of passage","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Seal of passage","http://oldschoolrunescape.wikia.com/wiki/Seal_of_passage"
"1536190098-640","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Unpowered symbol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Unpowered symbol","http://oldschoolrunescape.wikia.com/wiki/Unpowered_symbol"
"1536190098-617","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Pre-nature amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Pre-nature amulet","http://oldschoolrunescape.wikia.com/wiki/Pre-nature_amulet"
"1536190098-589","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Gnome scarf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gnome scarf","http://oldschoolrunescape.wikia.com/wiki/Gnome_scarf"
"1536190098-556","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Bandos stole","+0","+0","+0","+2","+0","+0","+0","+0","+2","+0","+0","0","0","+10","Bandos stole","http://oldschoolrunescape.wikia.com/wiki/Bandos_stole"
"1536190098-545","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of magic (t)","0","0","0","+10","0","0","0","0","0","0","0","0","0","0","Amulet of magic (t)","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_magic_(t)"
"1536190098-619","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Ruby amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ruby amulet","http://oldschoolrunescape.wikia.com/wiki/Ruby_amulet"
"1536190098-643","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Woolly scarf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Woolly scarf","http://oldschoolrunescape.wikia.com/wiki/Woolly_scarf"
"1536190098-593","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Ham logo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ham logo","http://oldschoolrunescape.wikia.com/wiki/Ham_logo"
"1536190098-598","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Jade necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Jade necklace","http://oldschoolrunescape.wikia.com/wiki/Jade_necklace"
"1536190098-548","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of strength","0","0","0","0","0","0","0","0","0","0","+10","0","0","0","Amulet of strength","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_strength"
"1536190098-533","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","3rd age amulet","0","0","0","+15","0","0","0","0","+10","0","0","0","0","0","3rd age amulet","http://oldschoolrunescape.wikia.com/wiki/3rd_age_amulet"
"1536190098-571","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Desert amulet 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Desert amulet 2","http://oldschoolrunescape.wikia.com/wiki/Desert_amulet_2"
"1536190098-586","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Ghostspeak amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ghostspeak amulet","http://oldschoolrunescape.wikia.com/wiki/Ghostspeak_amulet"
"1536190098-637","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Tri-jester scarf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tri-jester scarf","http://oldschoolrunescape.wikia.com/wiki/Tri-jester_scarf"
"1536190098-531","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","'perfect' necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","'perfect' necklace","http://oldschoolrunescape.wikia.com/wiki/%27perfect%27_necklace"
"1536190098-549","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of the damned","+10","+10","+10","+10","+10","+3","+3","+3","+3","+3","+6","0","0","+3","Amulet of the damned","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_the_damned"
"1536190098-563","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Camulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Camulet","http://oldschoolrunescape.wikia.com/wiki/Camulet"
"1536190098-574","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Diamond amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Diamond amulet","http://oldschoolrunescape.wikia.com/wiki/Diamond_amulet"
"1536190098-592","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Guthix stole","+0","+0","+0","+2","+0","+0","+0","+0","+2","+0","+0","0","0","+10","Guthix stole","http://oldschoolrunescape.wikia.com/wiki/Guthix_stole"
"1536190098-560","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Bobble scarf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bobble scarf","http://oldschoolrunescape.wikia.com/wiki/Bobble_scarf"
"1536190098-557","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Beads of the dead","+1","+1","+1","+1","+1","+1","+1","+1","+1","+1","+1","0","0","+1","Beads of the dead","http://oldschoolrunescape.wikia.com/wiki/Beads_of_the_dead"
"1536190098-604","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Necklace of anguish","0","0","0","0","15","0","0","0","0","0","0","5","0","2","Necklace of anguish","http://oldschoolrunescape.wikia.com/wiki/Necklace_of_anguish"
"1536190098-647","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Zamorak stole","+0","+0","+0","+2","+0","+0","+0","+0","+2","+0","+0","0","0","+10","Zamorak stole","http://oldschoolrunescape.wikia.com/wiki/Zamorak_stole"
"1536190098-585","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Ghostspeak amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ghostspeak amulet","http://oldschoolrunescape.wikia.com/wiki/Ghostspeak_amulet"
"1536190098-614","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Pendant of lucien","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Pendant of lucien","http://oldschoolrunescape.wikia.com/wiki/Pendant_of_lucien"
"1536190098-600","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Light bow tie","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Light bow tie","http://oldschoolrunescape.wikia.com/wiki/Light_bow_tie"
"1536190098-559","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Binding necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Binding necklace","http://oldschoolrunescape.wikia.com/wiki/Binding_necklace"
"1536190098-615","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Phoenix necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Phoenix necklace","http://oldschoolrunescape.wikia.com/wiki/Phoenix_necklace"
"1536190098-645","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Xeric's talisman","0","0","0","+3","0","0","0","0","+1","0","0","0","0","0","Xeric's talisman","http://oldschoolrunescape.wikia.com/wiki/Xeric%27s_talisman"
"1536190098-620","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Ruby necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ruby necklace","http://oldschoolrunescape.wikia.com/wiki/Ruby_necklace"
"1536190098-539","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of eternal glory","+10","+10","+10","+10","+10","+3","+3","+3","+3","+3","+6","0","0","+3","Amulet of eternal glory","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_eternal_glory"
"1536190098-569","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Dark bow tie","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dark bow tie","http://oldschoolrunescape.wikia.com/wiki/Dark_bow_tie"
"1536190098-568","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Crystal pendant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Crystal pendant","http://oldschoolrunescape.wikia.com/wiki/Crystal_pendant"
"1536190098-577","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Dodgy necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dodgy necklace","http://oldschoolrunescape.wikia.com/wiki/Dodgy_necklace"
"1536190098-538","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of defence","0","0","0","0","0","+7","+7","+7","+7","+7","0","0","0","0","Amulet of defence","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_defence"
"1536190098-591","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Gold necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gold necklace","http://oldschoolrunescape.wikia.com/wiki/Gold_necklace"
"1536190098-606","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Necklace of faith","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Necklace of faith","http://oldschoolrunescape.wikia.com/wiki/Necklace_of_faith"
"1536190098-541","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of fury (or)","+10","+10","+10","+10","+10","+15","+15","+15","+15","+15","+8","0","0","+5","Amulet of fury (or)","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_fury_(or)"
"1536190098-590","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Gold amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gold amulet","http://oldschoolrunescape.wikia.com/wiki/Gold_amulet"
"1536190098-638","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Unblessed symbol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Unblessed symbol","http://oldschoolrunescape.wikia.com/wiki/Unblessed_symbol"
"1536190098-546","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of nature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Amulet of nature","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_nature"
"1536190098-562","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Burning amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Burning amulet","http://oldschoolrunescape.wikia.com/wiki/Burning_amulet"
"1536190098-605","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Necklace of anguish (or)","0","0","0","0","15","0","0","0","0","0","0","5","0","2","Necklace of anguish (or)","http://oldschoolrunescape.wikia.com/wiki/Necklace_of_anguish_(or)"
"1536190098-564","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Cat training medal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Cat training medal","http://oldschoolrunescape.wikia.com/wiki/Cat_training_medal"
"1536190098-543","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of glory (t)","+10","+10","+10","+10","+10","+3","+3","+3","+3","+3","+6","0","0","+3","Amulet of glory (t)","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_glory_(t)"
"1536190098-547","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of power","+6","+6","+6","+6","+6","+6","+6","+6","+6","+6","+6","0","0","+1","Amulet of power","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_power"
"1536190098-596","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Hosidius house scarf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hosidius house scarf","http://oldschoolrunescape.wikia.com/wiki/Hosidius_house_scarf"
"1536190098-611","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Onyx necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Onyx necklace","http://oldschoolrunescape.wikia.com/wiki/Onyx_necklace"
"1536190098-618","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Rainbow scarf","+0","+0","+0","+0","+0","+0","+0","+0","+0","+0","+0","0","0","0","Rainbow scarf","http://oldschoolrunescape.wikia.com/wiki/Rainbow_scarf"
"1536190098-626","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Sapphire necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sapphire necklace","http://oldschoolrunescape.wikia.com/wiki/Sapphire_necklace"
"1536190098-641","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Void seal","0","0","0","0","0","+1","+1","+1","+1","+1","0","0","0","0","Void seal","http://oldschoolrunescape.wikia.com/wiki/Void_seal"
"1536190098-646","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Yin yang amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yin yang amulet","http://oldschoolrunescape.wikia.com/wiki/Yin_yang_amulet"
"1536190098-631","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Silver necklace (dusted)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Silver necklace (dusted)","http://oldschoolrunescape.wikia.com/wiki/Silver_necklace_(dusted)"
"1536190098-634","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Strung rabbit foot","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Strung rabbit foot","http://oldschoolrunescape.wikia.com/wiki/Strung_rabbit_foot"
"1536190098-612","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Opal amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Opal amulet","http://oldschoolrunescape.wikia.com/wiki/Opal_amulet"
"1536190098-534","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of accuracy","+4","+4","+4","+4","+4","0","0","0","0","0","0","0","0","0","Amulet of accuracy","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_accuracy"
"1536190098-602","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Lunar amulet","0","0","0","+1","0","0","0","0","+1","0","0","0","0","0","Lunar amulet","http://oldschoolrunescape.wikia.com/wiki/Lunar_amulet"
"1536190098-609","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Occult necklace (or)","0","0","0","+12","0","0","0","0","0","0","0","0","0","+2","Occult necklace (or)","http://oldschoolrunescape.wikia.com/wiki/Occult_necklace_(or)"
"1536190098-544","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of magic","0","0","0","+10","0","0","0","0","0","0","0","0","0","0","Amulet of magic","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_magic"
"1536190098-550","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of torture","+15","+15","+15","0","0","0","0","0","0","0","+10","0","0","+2","Amulet of torture","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_torture"
"1536190098-578","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Dragon necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dragon necklace","http://oldschoolrunescape.wikia.com/wiki/Dragon_necklace"
"1536190098-561","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Brass necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Brass necklace","http://oldschoolrunescape.wikia.com/wiki/Brass_necklace"
"1536190098-552","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Ancient stole","+0","+0","+0","+2","+0","+0","+0","+0","+2","+0","+0","0","0","+10","Ancient stole","http://oldschoolrunescape.wikia.com/wiki/Ancient_stole"
"1536190098-635","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Topaz amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Topaz amulet","http://oldschoolrunescape.wikia.com/wiki/Topaz_amulet"
"1536190098-572","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Desert amulet 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Desert amulet 3","http://oldschoolrunescape.wikia.com/wiki/Desert_amulet_3"
"1536190098-632","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Skills necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Skills necklace","http://oldschoolrunescape.wikia.com/wiki/Skills_necklace"
"1536190098-535","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of avarice","+10","+10","+10","+10","+10","+3","+3","+3","+3","+3","+6","0","0","+3","Amulet of avarice","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_avarice"
"1536190098-588","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Gnome amulet","0","0","0","0","0","+13","+13","+13","0","0","0","0","0","0","Gnome amulet","http://oldschoolrunescape.wikia.com/wiki/Gnome_amulet"
"1536190098-610","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Onyx amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Onyx amulet","http://oldschoolrunescape.wikia.com/wiki/Onyx_amulet"
"1536190098-616","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Piscarilius house scarf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Piscarilius house scarf","http://oldschoolrunescape.wikia.com/wiki/Piscarilius_house_scarf"
"1536190098-627","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Saradomin stole","+0","+0","+0","+2","+0","+0","+0","+0","+2","+0","+0","0","0","+10","Saradomin stole","http://oldschoolrunescape.wikia.com/wiki/Saradomin_stole"
"1536190098-639","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Unholy symbol","+2","+2","+2","+2","+2","0","0","0","0","0","0","0","0","+8","Unholy symbol","http://oldschoolrunescape.wikia.com/wiki/Unholy_symbol"
"1536190098-582","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Emerald amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Emerald amulet","http://oldschoolrunescape.wikia.com/wiki/Emerald_amulet"
"1536190098-601","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Lovakengj house scarf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lovakengj house scarf","http://oldschoolrunescape.wikia.com/wiki/Lovakengj_house_scarf"
"1536190098-553","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Arceuus house scarf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Arceuus house scarf","http://oldschoolrunescape.wikia.com/wiki/Arceuus_house_scarf"
"1536190098-566","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Catspeak amulet(e)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Catspeak amulet(e)","http://oldschoolrunescape.wikia.com/wiki/Catspeak_amulet(e)"
"1536190098-644","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Xeric's talisman","0","0","0","+2","0","0","0","0","0","0","0","0","0","0","Xeric's talisman","http://oldschoolrunescape.wikia.com/wiki/Xeric%27s_talisman"
"1536190098-583","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Emerald necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Emerald necklace","http://oldschoolrunescape.wikia.com/wiki/Emerald_necklace"
"1536190098-594","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Hazeel's mark","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hazeel's mark","http://oldschoolrunescape.wikia.com/wiki/Hazeel%27s_mark"
"1536190098-624","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Salve amulet (e)","0","0","0","0","0","+3","+3","+3","0","0","0","0","0","+3","Salve amulet (e)","http://oldschoolrunescape.wikia.com/wiki/Salve_amulet_(e)"
"1536190098-625","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Sapphire amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sapphire amulet","http://oldschoolrunescape.wikia.com/wiki/Sapphire_amulet"
"1536190098-607","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Necklace of passage","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Necklace of passage","http://oldschoolrunescape.wikia.com/wiki/Necklace_of_passage"
"1536190098-579","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Dragonbone necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","+12","Dragonbone necklace","http://oldschoolrunescape.wikia.com/wiki/Dragonbone_necklace"
"1536190098-630","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Silver necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Silver necklace","http://oldschoolrunescape.wikia.com/wiki/Silver_necklace"
"1536190098-649","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Zenyte necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Zenyte necklace","http://oldschoolrunescape.wikia.com/wiki/Zenyte_necklace"
"1536190098-621","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Salve amulet","0","0","0","0","0","+3","+3","+3","0","0","0","0","0","+3","Salve amulet","http://oldschoolrunescape.wikia.com/wiki/Salve_amulet"
"1536190098-622","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Salve amulet(ei)","0","0","0","0","0","+3","+3","+3","0","0","0","0","0","+3","Salve amulet(ei)","http://oldschoolrunescape.wikia.com/wiki/Salve_amulet(ei)"
"1536190098-565","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Catspeak amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Catspeak amulet","http://oldschoolrunescape.wikia.com/wiki/Catspeak_amulet"
"1536190098-629","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Shayzien house scarf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shayzien house scarf","http://oldschoolrunescape.wikia.com/wiki/Shayzien_house_scarf"
"1536190098-603","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","M'speak amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","M'speak amulet","http://oldschoolrunescape.wikia.com/wiki/M%27speak_amulet"
"1536190098-595","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Holy symbol","0","0","0","0","0","+2","+2","+2","+2","+2","+0","0","0","+8","Holy symbol","http://oldschoolrunescape.wikia.com/wiki/Holy_symbol"
"1536190098-573","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Desert amulet 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Desert amulet 4","http://oldschoolrunescape.wikia.com/wiki/Desert_amulet_4"
"1536190098-584","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Games necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Games necklace","http://oldschoolrunescape.wikia.com/wiki/Games_necklace"
"1536190098-581","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Drakan's medallion","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Drakan's medallion","http://oldschoolrunescape.wikia.com/wiki/Drakan%27s_medallion"
